Pto;Lon;Lat
P1;-70.84594335;-32.9304988
P2;-70.92921779;-32.98283164
P3;-70.63108547;-33.01815078
P4;-70.94810867;-33.03763929
P5;-70.91407645;-33.05597539
P6;-70.6380332;-33.06689554
P7;-70.62414523;-33.0890329
P8;-70.97359241;-33.08918593
P9;-70.94434217;-33.12210939
P10;-70.62489277;-33.12306631
P11;-70.6078531;-33.1513656
P12;-70.91890147;-33.17183173
P13;-70.96672951;-33.21114578
P14;-70.61382132;-33.2133847
P15;-70.58069285;-33.2451237
P16;-70.92187457;-33.26923124
P17;-70.59248261;-33.273818
P18;-70.55216334;-33.30004441
P19;-70.44815935;-33.30249634
P20;-70.91653216;-33.31264138
P21;-70.60564785;-33.33489311
P22;-70.48354873;-33.38220498
P23;-70.47128794;-33.40765489
P24;-70.49358646;-33.41482696
P25;-70.82919269;-33.46633061
P26;-70.89414409;-33.52361468
P27;-70.7434476;-33.59425109
P28;-70.8306285;-33.68465277
P29;-70.81978812;-33.72093608
P30;-70.87826553;-34.14446028
